time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-23T23:06:43.095Z,37.9546,141.9897,49.46,4.4,mb,,121,2.92,0.92,us,us7000gwq8,2022-05-28T18:35:28.040Z,"79 km SE of Ishinomaki, Japan",earthquake,8,6.8,0.095,32,reviewed,us,us
2022-03-21T01:54:20.547Z,37.8778,142.0294,52.09,4.3,mb,,138,3.002,1.25,us,us7000gx9i,2022-05-28T18:35:37.040Z,"87 km SE of Ishinomaki, Japan",earthquake,6,9.1,0.168,10,reviewed,us,us
2022-03-20T13:13:18.569Z,37.8437,142.0163,54.77,4.5,mb,,111,3.033,0.79,us,us7000gwyd,2022-05-28T18:35:33.040Z,"89 km SE of Ishinomaki, Japan",earthquake,7.6,7.4,0.103,30,reviewed,us,us
2022-03-20T06:35:51.468Z,37.901,142.0474,55.22,4.2,mb,,149,2.983,0.3,us,us7000gwxq,2022-05-28T18:35:32.040Z,"86 km SE of Ishinomaki, Japan",earthquake,7.6,9.9,0.146,13,reviewed,us,us
2022-03-19T23:26:41.852Z,37.8058,141.9154,57.04,4.1,mb,,151,3.051,0.7,us,us7000gwup,2022-05-28T18:35:31.040Z,"86 km SE of Ishinomaki, Japan",earthquake,8.6,3.6,0.214,6,reviewed,us,us
2022-03-19T12:07:30.213Z,37.9044,141.9187,44.27,4.2,mb,,123,2.956,0.43,us,us7000gwtz,2022-05-28T18:35:30.040Z,"78 km SE of Ishinomaki, Japan",earthquake,8.8,8.4,0.132,16,reviewed,us,us
2022-03-17T19:56:52.355Z,37.9753,142.1197,50.86,4.2,mb,,116,2.926,0.54,us,us6000h6r4,2022-05-27T14:55:43.040Z,"86 km SE of Ishinomaki, Japan",earthquake,6.9,8.2,0.2,7,reviewed,us,us
2022-03-17T12:30:15.808Z,37.975,142.0485,56.4,4.7,mb,,121,2.912,1,us,us6000h5d7,2022-05-27T14:55:31.040Z,"81 km SE of Ishinomaki, Japan",earthquake,4.3,6.2,0.042,167,reviewed,us,us
2022-03-16T23:40:15.436Z,37.8398,141.9106,47.24,4,mb,,148,3.017,0.8,us,us6000h6gy,2022-05-27T14:55:41.040Z,"83 km SE of Ishinomaki, Japan",earthquake,4.2,9.8,0.231,5,reviewed,us,us
2022-03-16T16:14:27.603Z,37.8171,142.0053,45.47,4.4,mb,,117,3.056,1.14,us,us6000h53m,2022-05-27T14:55:29.040Z,"90 km SE of Ishinomaki, Japan",earthquake,6.6,6.4,0.081,44,reviewed,us,us
2022-03-16T14:51:25.720Z,37.9001,142.2507,55.86,4.6,mb,,134,3.028,0.69,us,us6000h6h5,2022-05-27T14:55:41.040Z,"101 km SE of Ishinomaki, Japan",earthquake,6.5,9.1,0.272,4,reviewed,us,us
2022-03-16T14:43:43.790Z,37.8532,142.1402,49.07,5.3,mb,,115,3.048,0.44,us,us6000h6h6,2022-08-06T06:19:13.662Z,"96 km SE of Ishinomaki, Japan",earthquake,7.6,8.8,0.194,10,reviewed,us,us
2022-03-07T01:34:12.907Z,37.9615,142.285,19.65,4.4,mb,,128,2.978,0.95,us,us6000h2mt,2022-05-14T21:52:19.040Z,"99 km ESE of Ishinomaki, Japan",earthquake,8.3,4.6,0.075,52,reviewed,us,us
2022-02-24T23:46:40.859Z,38.4181,142.2758,47.23,4.4,mb,,130,3.655,0.69,us,us6000gzxm,2022-05-04T13:40:28.040Z,"85 km E of Ishinomaki, Japan",earthquake,8.6,7.1,0.112,23,reviewed,us,us
2022-01-11T00:52:42.327Z,38.7641,141.9851,46.28,4.4,mb,,138,2.143,0.5,us,us7000gaqt,2022-03-19T22:07:38.040Z,"41 km SE of ?funato, Japan",earthquake,6.8,7.7,0.112,25,reviewed,us,us
